time,city,speed_kt,deg
2026-03-10 14:20:00,Banyuwangi,3.2,246
2026-03-10 14:20:00,KarangPloso,3.8,215
2026-03-10 14:20:00,Tretes,4.8,209
2026-03-10 14:20:00,KarangKates,0.9,327
2026-03-10 14:20:00,Sawahan,3.4,213
2026-03-10 14:20:00,Tuban,4.7,249
2026-03-10 14:20:00,Pacitan,5.0,311
2026-03-10 14:20:00,Dhoho,5.6,188
2026-03-10 14:30:00,Juanda,0.6,140
2026-03-10 14:30:00,Perak,1.6,239
2026-03-10 14:30:00,Bawean,13.7,264
2026-03-10 14:30:00,Kalianget,5.5,281
2026-03-10 14:30:00,Banyuwangi,3.1,228
2026-03-10 14:30:00,KarangPloso,3.1,215
2026-03-10 14:30:00,Tretes,4.8,209
2026-03-10 14:30:00,KarangKates,0.9,327
2026-03-10 14:30:00,Sawahan,3.6,203
